Date,Open,High,Low,Close,Adj Close,Volume
2019-12-19,468.600006,468.649994,458.750000,459.750000,442.066406,33177
2019-12-20,465.000000,465.000000,457.600006,459.600006,441.922150,36000
2019-12-23,459.500000,462.149994,457.299988,460.899994,443.172180,18251
2019-12-24,460.899994,461.000000,454.649994,457.700012,440.095245,19580
2019-12-26,466.000000,466.000000,457.000000,457.649994,440.047150,21216
2019-12-27,457.700012,461.299988,456.350006,459.899994,442.210602,95430
2019-12-30,460.000000,465.600006,459.700012,462.100006,444.325989,20295
2019-12-31,462.750000,466.700012,457.799988,458.399994,440.768311,27927
2020-01-01,458.500000,460.950012,458.500000,460.049988,442.354828,7440
2020-01-02,460.000000,462.100006,458.100006,460.000000,442.306763,13327
2020-01-03,460.000000,460.350006,453.700012,455.600006,438.075989,31901
2020-01-06,455.000000,456.299988,445.700012,447.549988,430.335571,40364
2020-01-07,450.000000,455.799988,449.649994,453.399994,435.960663,14858
2020-01-08,450.000000,457.600006,446.149994,456.750000,439.181824,17129
2020-01-09,460.000000,463.950012,458.000000,460.549988,442.835571,20292
2020-01-10,462.000000,468.899994,460.000000,466.649994,448.700958,21607
2020-01-13,470.000000,479.500000,470.000000,478.649994,460.239410,76809
2020-01-14,480.000000,483.399994,477.950012,482.450012,463.893280,40708
2020-01-15,481.000000,492.000000,480.100006,490.700012,471.825928,274137
2020-01-16,492.000000,494.299988,485.549988,487.549988,468.797058,32493
2020-01-17,489.950012,491.350006,486.600006,489.850006,471.008667,40063
2020-01-20,489.950012,492.649994,484.700012,485.899994,467.210541,101893
2020-01-21,486.299988,488.250000,480.750000,486.649994,467.931702,29274
2020-01-22,490.000000,493.899994,486.299988,486.649994,467.931702,16019
2020-01-23,489.899994,492.000000,483.000000,489.750000,470.912476,18267
2020-01-24,494.399994,502.000000,491.549988,500.299988,481.056702,111860
2020-01-27,501.950012,505.700012,491.700012,493.149994,474.181702,65598
2020-01-28,493.450012,499.350006,486.649994,488.200012,469.422180,30280
2020-01-29,490.000000,495.149994,488.700012,491.649994,472.739410,22673
2020-01-30,495.000000,496.149994,472.299988,478.149994,459.758667,218425
2020-01-31,480.899994,503.100006,480.600006,496.000000,476.922089,582159
2020-02-03,485.000000,500.500000,485.000000,497.450012,478.316284,56033
2020-02-04,500.000000,513.000000,498.000000,503.649994,484.277863,134329
2020-02-05,503.649994,513.000000,503.649994,510.850006,491.200897,31108
2020-02-06,515.000000,518.250000,506.000000,509.649994,490.047089,40010
2020-02-07,514.000000,517.599976,507.100006,513.650024,493.893219,28947
2020-02-10,514.000000,517.000000,508.700012,512.549988,492.835510,24349
2020-02-11,514.500000,516.700012,508.000000,508.649994,489.085541,46161
2020-02-12,512.900024,523.200012,511.700012,519.950012,499.950897,111135
2020-02-13,521.000000,521.000000,511.000000,513.000000,493.268188,32110
2020-02-14,518.000000,518.000000,503.700012,505.700012,486.248962,27060
2020-02-17,506.950012,509.250000,500.299988,501.000000,481.729767,16221
2020-02-18,499.000000,506.850006,496.200012,504.850006,485.431671,45278
2020-02-19,498.049988,510.000000,490.000000,507.950012,488.412445,73347
2020-02-20,502.000000,517.000000,502.000000,506.149994,486.681702,69232
2020-02-24,505.350006,513.299988,498.600006,500.750000,481.489380,100234
2020-02-25,505.250000,509.299988,499.399994,500.100006,480.864380,21143
2020-02-26,501.299988,506.850006,497.299988,502.100006,482.787445,103919
2020-02-27,502.799988,508.000000,501.450012,506.750000,487.258575,43151
2020-02-28,506.750000,506.750000,492.100006,496.049988,476.970184,70811
2020-03-02,500.000000,513.799988,494.200012,497.649994,478.508575,87248
2020-03-03,505.000000,512.799988,502.149994,506.450012,486.970154,97024
2020-03-04,512.000000,517.000000,506.600006,514.700012,494.902802,68368
2020-03-05,518.000000,525.299988,514.799988,518.299988,498.364349,74686
2020-03-06,512.000000,512.900024,496.049988,500.450012,481.200928,56889
2020-03-09,495.899994,495.899994,478.299988,482.600006,464.037506,58379
2020-03-11,485.000000,494.250000,476.950012,488.200012,469.422180,41290
2020-03-12,478.899994,478.899994,451.950012,454.950012,437.451019,74080
2020-03-13,448.899994,472.350006,398.000000,450.899994,433.556824,150389
2020-03-16,453.000000,454.799988,426.500000,431.899994,415.287567,63505
2020-03-17,430.000000,450.750000,424.750000,430.049988,413.508728,68205
2020-03-18,442.000000,442.000000,412.399994,414.250000,398.316528,74657
2020-03-19,405.000000,428.000000,390.000000,419.549988,403.412598,140650
2020-03-20,419.549988,452.399994,415.250000,444.500000,427.402954,151436
2020-03-23,439.950012,439.950012,385.049988,396.799988,381.537628,74467
